OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
80,Dobbins Air Reserve Base,,33.915277777777774,-84.51638888888888,act,xlsx,,America/New_York,2026-03-03T11:00,51.3,91,46.6,1,0.0,0.0,0.0,0.0,3,100,1026.6,989.0,16.6,103,30.2
81,Duke Field,,30.650277777777777,-86.52277777777778,act,xlsx,,America/Chicago,2026-03-03T10:00,70.6,69,70.1,1,0.0,0.0,0.0,0.0,0,12,1024.3,1017.4,16.3,137,30.2
82,Duluth Air National Guard Base,,46.84222222222223,-92.19361111111112,act,xlsx,,America/Chicago,2026-03-03T10:00,33.5,97,26.9,1,0.0,0.0,0.0,0.0,3,100,1018.2,965.2,11.0,229,25.9
83,Eastern Air Defense Sector,,43.21638888888889,-9.256666666666666,act,xlsx,,Europe/Madrid,2026-03-03T17:00,62.5,66,60.4,1,0.0,0.0,0.0,0.0,0,2,1016.3,1016.3,9.1,9,20.2
84,Ebbing Air National Guard Base,,35.336666666666666,-94.3675,act,xlsx,,America/Chicago,2026-03-03T10:00,63.8,78,65.1,1,0.0,0.0,0.0,0.0,3,100,1015.2,999.3,3.6,84,29.2
85,Ellington Field Joint Reserve Base,,29.607222222222223,-95.1588888888889,act,xlsx,,America/Chicago,2026-03-03T10:00,76.3,73,77.2,1,0.0,0.0,0.0,0.0,1,27,1019.0,1017.9,21.2,165,33.1
86,Fargo Air National Guard Base,,46.92055555555555,-96.81583333333332,act,xlsx,,America/Chicago,2026-03-03T10:00,36.0,87,30.5,1,0.0,0.0,0.0,0.0,3,100,1017.9,984.2,6.5,273,10.4
87,Forbes Field Air National Guard Base,,38.95111111111111,-95.66583333333334,act,xlsx,,America/Chicago,2026-03-03T10:00,42.9,100,39.7,1,0.0,0.0,0.0,0.0,45,100,1014.0,975.2,5.4,90,15.8
88,Fort Bliss,,31.801944444444445,-106.42472222222224,act,xlsx,,America/Denver,2026-03-03T09:00,70.4,16,63.9,1,0.0,0.0,0.0,0.0,0,0,1012.4,884.0,5.2,254,19.1
89,Fort Dodge Air National Guard Station,,42.55055555555556,-6.569444444444445,act,xlsx,,Europe/Madrid,2026-03-03T17:00,62.7,40,56.0,1,0.0,0.0,0.0,0.0,1,18,1015.0,946.7,14.6,100,34.9
90,Fort Wayne Air National Guard Base,,40.97833333333333,-85.19500000000001,act,xlsx,,America/Indiana/Indianapolis,2026-03-03T11:00,34.1,85,27.6,1,0.0,0.0,0.0,0.0,3,100,1019.1,988.9,9.1,72,11.2
91,Naval Air Station Joint Reserve Base Fort Worth,,32.76916666666666,-97.44166666666668,act,xlsx,,America/Chicago,2026-03-03T10:00,70.5,75,68.7,1,0.0,0.0,0.0,0.0,3,100,1013.3,990.9,23.1,191,45.7
92,Francis S. Gabreski Air National Guard Base,,40.83694444444445,-72.64222222222223,act,xlsx,,America/New_York,2026-03-03T11:00,32.5,80,24.7,1,0.0,0.0,0.0,0.0,3,100,1034.5,1032.8,12.6,85,27.7
93,Fresno Air National Guard Base,,36.77611111111111,-119.73055555555555,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,50.4,92,48.5,1,0.0,0.0,0.0,0.0,0,10,1019.4,1007.2,5.4,352,10.8
94,General Mitchell Air National Guard Base,,42.947222222222216,-87.89666666666668,act,xlsx,,America/Chicago,2026-03-03T10:00,37.4,71,31.2,1,0.0,0.0,0.0,0.0,1,49,1020.0,994.8,7.2,162,11.2
95,Gowen Field Air National Guard Base,,43.56444444444444,-116.22277777777778,act,xlsx,,America/Boise,2026-03-03T09:00,40.4,91,35.9,1,0.0,0.0,0.0,0.0,0,6,1021.0,918.7,6.5,161,13.0
96,Great Falls Air National Guard Base,,47.48194444444445,-21.85611111111111,act,xlsx,,Etc/GMT+1,2026-03-03T15:00,53.1,92,39.7,1,0.2,0.2,0.0,0.0,53,100,1014.9,1014.9,51.8,185,72.4
97,Greeley Air National Guard Station,,40.42361111111111,-9.74388888888889,act,xlsx,,Etc/GMT+1,2026-03-03T15:00,58.6,82,55.5,1,0.0,0.0,0.0,0.0,0,3,1014.1,1014.1,15.7,9,21.6
98,Grissom Air Reserve Base,,40.64805555555556,-86.15222222222222,act,xlsx,,America/Indiana/Indianapolis,2026-03-03T11:00,36.2,92,29.6,1,0.0,0.0,0.0,0.0,3,100,1019.2,988.9,11.6,120,20.9
99,Goldwater Air National Guard Base,,33.42666666666666,-112.01194444444444,act,xlsx,,America/Phoenix,2026-03-03T09:00,68.3,25,63.9,1,0.0,0.0,0.0,0.0,0,0,1012.6,973.7,1.8,143,10.1
100,Gulfport Combat Readiness Training Center,,30.40722222222222,-89.07,act,xlsx,,America/Chicago,2026-03-03T10:00,67.2,92,68.3,1,0.0,0.0,0.0,0.0,3,100,1023.0,1022.3,16.4,119,33.1
101,Hall Air Guard Station,,31.329444444444444,-8.424166666666666,act,xlsx,,Africa/Casablanca,2026-03-03T16:00,53.9,44,44.9,1,0.0,0.0,0.0,0.0,2,64,1007.4,921.4,20.2,286,35.3
102,Hancock Field Air National Guard Base,,43.11138888888889,-76.1236111111111,act,xlsx,,America/New_York,2026-03-03T11:00,37.5,71,30.1,1,0.0,0.0,0.0,0.0,3,100,1027.3,1011.2,12.0,164,25.2
103,Harrisburg Air Station Middletown,,40.19361111111111,-76.76333333333334,act,xlsx,,America/New_York,2026-03-03T11:00,32.4,96,26.6,1,0.0,0.0,0.0,0.0,3,100,1031.0,1019.5,7.4,129,19.8
104,Homestead Air Reserve Base,,25.488333333333333,-80.38361111111112,act,xlsx,,America/New_York,2026-03-03T11:00,79.2,73,82.9,1,0.0,0.0,0.0,0.0,1,25,1022.0,1021.9,21.7,71,29.5
105,Hulman Field Air National Guard Base,,39.45138888888889,-87.30749999999999,act,xlsx,,America/Indiana/Indianapolis,2026-03-03T11:00,39.5,98,34.4,1,0.5,0.5,0.0,0.0,61,100,1018.9,997.3,9.5,61,10.8
106,Jackson Air National Guard Base,,32.31111111111111,-90.07583333333334,act,xlsx,,America/Chicago,2026-03-03T10:00,69.1,79,68.1,1,0.0,0.0,0.0,0.0,3,83,1021.3,1009.6,20.1,170,36.4
107,Jacksonville Air National Guard Base,,30.49416666666667,-81.68777777777778,act,xlsx,,America/New_York,2026-03-03T11:00,63.2,84,62.3,1,0.0,0.0,0.0,0.0,3,100,1026.1,1025.3,13.8,28,21.6
108,Jefferson Barracks Air National Guard Station,,38.50388888888889,-4.504444444444444,act,xlsx,,Europe/Madrid,2026-03-03T17:00,64.1,49,57.1,1,0.0,0.0,0.0,0.0,3,100,1009.7,937.2,21.3,84,45.0
109,Joe Foss Field Air National Guard Station,,43.581944444444446,-96.74194444444444,act,xlsx,,America/Chicago,2026-03-03T10:00,39.4,92,34.1,1,0.0,0.0,0.0,0.0,3,100,1016.6,964.2,9.0,113,11.2
110,Johnstown Air National Guard Station,,40.32305555555556,-6.313888888888889,act,xlsx,,Europe/Madrid,2026-03-03T17:00,62.8,50,59.2,1,0.0,0.0,0.0,0.0,1,21,1012.5,945.8,7.7,208,23.8
111,Key Field Air National Guard Base,,32.3325,-88.75194444444445,act,xlsx,,America/Chicago,2026-03-03T10:00,65.0,88,65.3,1,0.0,0.0,0.0,0.0,3,100,1022.2,1011.8,13.9,149,32.4
112,Kingsley Field Air National Guard Base,,42.15611111111111,-121.73305555555557,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,30.6,100,25.8,1,0.0,0.0,0.0,0.0,45,100,1019.7,874.3,2.9,263,4.3
113,Lincoln Air National Guard Base,,40.85111111111111,-96.75916666666669,act,xlsx,,America/Chicago,2026-03-03T10:00,41.7,86,38.5,1,0.0,0.0,0.0,0.0,3,100,1015.6,972.0,1.1,108,2.5
114,Louisville Air National Guard Base,,38.17805555555555,-85.72472222222223,act,xlsx,,America/Kentucky/Louisville,2026-03-03T11:00,53.7,85,50.2,1,0.0,0.0,0.0,0.0,3,100,1019.4,1001.8,12.7,188,42.8
115,Mansfield Lahm Air National Guard Base,,40.81361111111111,-82.51666666666667,act,xlsx,,America/New_York,2026-03-03T11:00,38.9,97,33.0,1,0.0,0.0,0.0,0.0,3,100,1020.0,972.0,11.9,175,28.8
116,March Joint Air Reserve Base,,33.88055555555555,-117.25944444444444,act,xlsx,,America/Los_Angeles,2026-03-03T08:00,49.7,80,47.6,1,0.0,0.0,0.0,0.0,0,1,1015.6,960.9,2.2,90,5.8
